StudentID,Full Name,Email,Year of Registration,Year of Studies,Syllabus,Semester,Course Attending,Project Grade,Exam Grade,Final Grade 
367,Ilai Lorleberg,ilai@uoi.gr,hrhnnnJ,2017,5,5,10,3,3.5,4.0,null
368,Ruiying Ibarranguelua,ruiying@uoi.gr,1mm8F8a,2017,5,5,10,3,7.5,3.5,null
369,Imperio Albendiz,imperio@uoi.gr,4zoqXMg,2021,1,1,2,3,1.0,9.0,null
370,Benemerito Strassenmeyer,benemerito@uoi.gr,NDjRwJa,2021,1,1,2,3,9.5,1.5,null
371,Emeka Landgraf,emeka@uoi.gr,WooN8rU,2019,3,3,6,3,6.5,0.0,null
372,Anitz Bawin,anitz@uoi.gr,GnU7eqU,2018,4,4,8,3,3.0,2.0,null
373,Tiny Moshninov,tiny@uoi.gr,C53Gu7W,2021,1,1,2,3,3.5,5.0,null
374,Rqia Totaro,rqia@uoi.gr,24Jegcv,2017,5,5,10,3,7.0,7.5,null
375,Janin Lutjes,janin@uoi.gr,gbuttMw,2017,5,5,10,3,6.0,0.0,null
376,Hodaifa Raffael,hodaifa@uoi.gr,pzgfzSO,2018,4,4,8,3,5.5,7.0,null
377,Luigina Pulpillo,luigina@uoi.gr,h3xTYZI,2021,1,1,2,3,9.0,1.0,null
378,Kelian Siercks,kelian@uoi.gr,iRj3liF,2017,5,5,10,3,1.5,5.0,null
379,Nezar Britzius,nezar@uoi.gr,O81Hjz1,2020,2,2,4,3,0.5,0.5,null
380,Severiana Altburger,severiana@uoi.gr,5VxbJqB,2018,4,4,8,3,8.0,8.0,null
381,Sommer Corchero,sommer@uoi.gr,grDGayP,2017,5,5,10,3,6.5,5.0,null
382,Lianying Freudenreich,lianying@uoi.gr,Y61FlAW,2021,1,1,2,3,7.5,9.5,null
383,Jucilene Shemo,jucilene@uoi.gr,Sb42C0Z,2021,1,1,2,3,9.0,7.5,null
384,Julio Golobokov,julio@uoi.gr,VlfLhBg,2018,4,4,8,3,5.0,0.5,null
385,Issam Villadangos,issam@uoi.gr,MSKb4NV,2019,3,3,6,3,0.0,8.5,null
386,Cenobia Ciurko,cenobia@uoi.gr,j5sU8M5,2019,3,3,6,3,6.5,5.5,null
387,Yony Sangal,yony@uoi.gr,g3x59pQ,2020,2,2,4,3,3.0,0.0,null
388,Raelene Oberhoffner,raelene@uoi.gr,V6uGl8A,2019,3,3,6,3,7.0,1.0,null
389,Sohaib Guldenkirch,sohaib@uoi.gr,p5ZMlz3,2017,5,5,10,3,2.5,8.5,null
390,Naihara Bouchet,naihara@uoi.gr,at7VFlM,2018,4,4,8,3,3.0,3.5,null
391,Nouman Pavlyuk,nouman@uoi.gr,FRgBcwa,2021,1,1,2,3,2.5,8.0,null
392,Isicio Tendero,isicio@uoi.gr,FkRV0DQ,2019,3,3,6,3,8.0,7.5,null
393,Abdelmoghit Azzi,abdelmoghit@uoi.gr,QzKKsfQ,2017,5,5,10,3,3.0,2.5,null
394,Alexand Warburton,alexand@uoi.gr,prgBExC,2018,4,4,8,3,0.5,10.0,null
395,Pascasia Frumin,pascasia@uoi.gr,KWdecIx,2020,2,2,4,3,1.5,4.0,null
396,Detelin Ettahiri,detelin@uoi.gr,SFlMy37,2017,5,5,10,3,7.5,3.0,null
397,Agneta Przybilsk,agneta@uoi.gr,ehsgQd4,2020,2,2,4,3,10.0,9.5,null
398,Siny Ereia,siny@uoi.gr,v8uIzpP,2017,5,5,10,3,4.5,7.0,null
399,Venus Fersing,venus@uoi.gr,QWTTGfW,2018,4,4,8,3,4.0,4.5,null
400,Abubakar Dahlemann,abubakar@uoi.gr,5zBlBno,2021,1,1,2,3,0.5,7.0,null
401,Zeinabou Gassiot,zeinabou@uoi.gr,UX2aizL,2018,4,4,8,4,1.0,10.0,null
402,An Familia,an@uoi.gr,DHNms9J,2020,2,2,4,4,5.0,3.5,null
403,Laudelina Lejarzegui,laudelina@uoi.gr,REHnrDd,2017,5,5,10,4,0.5,7.5,null
404,Nidia Esile,nidia@uoi.gr,WROfYXa,2019,3,3,6,4,7.5,4.0,null
405,Monike Lossky,monike@uoi.gr,J012XAQ,2021,1,1,2,4,9.5,6.0,null
406,Odei Chentouf,odei@uoi.gr,Ma6DqTO,2020,2,2,4,4,0.0,5.0,null
407,Leontin Innamorato,leontin@uoi.gr,Ft1REgU,2021,1,1,2,4,8.0,10.0,null
408,Juvencio Jorger,juvencio@uoi.gr,Jeek9mQ,2018,4,4,8,4,7.5,2.0,null
409,Tempie Rusam,tempie@uoi.gr,DlPysFp,2021,1,1,2,4,10.0,8.5,null
410,Ming Silvera,ming@uoi.gr,nNFS44c,2021,1,1,2,4,4.5,1.0,null
411,Petru Youk,petru@uoi.gr,E9PGjgq,2021,1,1,2,4,8.0,5.5,null
412,Totka Cambara,totka@uoi.gr,sq6rI3s,2020,2,2,4,4,2.0,8.5,null
413,Tsvetko Riveras,tsvetko@uoi.gr,QGJp5TY,2020,2,2,4,4,4.5,6.0,null
414,Meryem Galhota,meryem@uoi.gr,AIiUBCe,2019,3,3,6,4,6.0,2.0,null
415,Relu Vermohlen,relu@uoi.gr,nOTk0Oy,2021,1,1,2,4,6.5,8.0,null
416,Alysha Arets,alysha@uoi.gr,FzDv4Fy,2019,3,3,6,4,7.5,0.5,null
417,Meimei Arrieta,meimei@uoi.gr,bBuBO8R,2018,4,4,8,4,2.0,9.5,null
418,Bernita Makhagonov,bernita@uoi.gr,b4KLOMG,2021,1,1,2,4,10.0,0.0,null
419,Emina Tuganbaev,emina@uoi.gr,PQ3Vfjj,2020,2,2,4,4,9.0,8.5,null
420,Neculae Townend,neculae@uoi.gr,LqNxSe3,2017,5,5,10,4,0.5,5.5,null
421,Salahddine Moncadas,salahddine@uoi.gr,ev2LWD1,2020,2,2,4,4,9.5,9.5,null
422,Hagen Turover,hagen@uoi.gr,GAbHqQj,2021,1,1,2,4,1.5,10.0,null
423,Erea Wohlfahrth,erea@uoi.gr,cDra1fP,2018,4,4,8,4,5.5,5.5,null
424,Koraima Fuller,koraima@uoi.gr,Zr1Tnlg,2018,4,4,8,4,3.0,9.5,null
425,Dick Haslinde,dick@uoi.gr,8eCUMWU,2021,1,1,2,4,2.5,0.0,null
426,Rouchdi Sajal,rouchdi@uoi.gr,C4xapFE,2019,3,3,6,4,10.0,0.5,null
427,Yuka Basave,yuka@uoi.gr,AFoO3BF,2018,4,4,8,4,2.0,0.0,null
428,Kuldip Marheineke,kuldip@uoi.gr,OuqK16E,2019,3,3,6,4,5.5,1.0,null
429,Thanh Lajoso,thanh@uoi.gr,1CJtXAA,2020,2,2,4,4,10.0,9.0,null
430,Iurie Gschwender,iurie@uoi.gr,e3YixZG,2018,4,4,8,4,10.0,8.5,null
431,Daina Frohn,daina@uoi.gr,0WxtdqX,2017,5,5,10,4,4.5,1.5,null
432,Olatz Zapardiel,olatz@uoi.gr,w7IFFJo,2020,2,2,4,4,5.0,8.0,null
433,Genna Adamenko,genna@uoi.gr,qPVsfd1,2021,1,1,2,4,2.5,5.0,null
434,Ursel Minguella,ursel@uoi.gr,hcaF6Jw,2020,2,2,4,4,6.0,5.0,null
435,Yollotl Tripiana,yollotl@uoi.gr,HSsfZ7K,2017,5,5,10,4,0.0,1.0,null
436,Doria Mingachos,doria@uoi.gr,4UsZQvl,2019,3,3,6,4,6.5,9.5,null
437,Zlatko Marmelo,zlatko@uoi.gr,d77yp8v,2020,2,2,4,4,6.0,7.5,null
438,Natasha Koronk,natasha@uoi.gr,MoUC2Yr,2019,3,3,6,4,1.5,4.0,null
439,Judie Mendel,judie@uoi.gr,pMRqoO0,2018,4,4,8,4,4.0,3.0,null
440,Chrystal Etchamendi,chrystal@uoi.gr,Y3VEJVR,2021,1,1,2,4,0.5,10.0,null
441,Yevgeniy Handrikov,yevgeniy@uoi.gr,HBaoZPd,2020,2,2,4,4,8.0,3.5,null
442,Yaniris Redinius,yaniris@uoi.gr,n452PFX,2019,3,3,6,4,4.5,6.0,null
443,Anand Zuviaguirre,anand@uoi.gr,4h205Y7,2021,1,1,2,4,3.5,5.0,null
444,Kamrul Spen,kamrul@uoi.gr,1RUWbGu,2021,1,1,2,4,4.0,2.0,null
445,Souleye Paumgartner,souleye@uoi.gr,Qn0jUmy,2021,1,1,2,4,10.0,2.5,null
446,Constancio Lamata,constancio@uoi.gr,EVCZJZn,2021,1,1,2,4,9.0,0.0,null
447,Debroah Olmeda,debroah@uoi.gr,LrtISr7,2021,1,1,2,4,7.0,3.0,null
448,Israe Loyola,israe@uoi.gr,rr3wT7e,2018,4,4,8,4,5.5,6.5,null
449,Sora Wattez,sora@uoi.gr,oud6bz2,2021,1,1,2,4,7.0,3.0,null
450,Mariana Buchwalder,mariana@uoi.gr,5imwl3z,2018,4,4,8,4,1.5,1.5,null
451,Nawar Morah,nawar@uoi.gr,3V1wWWQ,2017,5,5,10,4,4.5,3.0,null
452,Sua Civit,sua@uoi.gr,qXfunDF,2020,2,2,4,4,4.0,6.5,null
453,Nickole Nayyar,nickole@uoi.gr,ENdIGrT,2018,4,4,8,4,3.0,4.0,null
454,Suhail Cantini,suhail@uoi.gr,5LyjJYc,2021,1,1,2,4,1.0,6.0,null
455,Dottie Ondraita,dottie@uoi.gr,fnzPvLu,2020,2,2,4,4,10.0,0.5,null
456,Alien Estevinho,alien@uoi.gr,gki81Eh,2019,3,3,6,4,3.5,2.0,null
457,Lingyan Urresti,lingyan@uoi.gr,UUGCMzy,2018,4,4,8,4,9.5,8.0,null
458,Jamika Mayr,jamika@uoi.gr,JkRtWzx,2017,5,5,10,4,7.0,0.0,null
459,Radomir Manciu,radomir@uoi.gr,FRLieKV,2018,4,4,8,4,3.0,7.5,null
460,Soufyane Kamel,soufyane@uoi.gr,lVwfk5X,2018,4,4,8,4,3.5,2.5,null
461,M'Hamed Ferrante,m'hamed@uoi.gr,WzkW0IM,2018,4,4,8,4,5.0,7.5,null
462,Serena Rohlwing,serena@uoi.gr,hZ7iX31,2019,3,3,6,4,7.0,10.0,null
463,Licas Echevarri-Villebaso,licas@uoi.gr,8mqQ8BJ,2018,4,4,8,4,6.0,8.5,null
464,Margoth Vikulin,margoth@uoi.gr,wCgTIaI,2021,1,1,2,4,0.0,8.0,null
465,Zenobio Poshevnev,zenobio@uoi.gr,NQYhDVy,2021,1,1,2,4,6.5,3.5,null
466,Nael Behrns,nael@uoi.gr,WqTeeeG,2017,5,5,10,4,2.5,7.5,null
467,Hadhoum Sampath,hadhoum@uoi.gr,KaT5woJ,2019,3,3,6,4,0.5,9.0,null
468,Lie Dewies,lie@uoi.gr,UD1uVc3,2020,2,2,4,4,6.0,6.0,null
469,Sheryl Neubuhr,sheryl@uoi.gr,JEIjBlh,2021,1,1,2,4,8.5,9.5,null
470,Tingting Canellada,tingting@uoi.gr,S5o5S9V,2018,4,4,8,4,6.0,6.0,null
471,Edier Natalushko,edier@uoi.gr,ljFCDqJ,2020,2,2,4,4,4.5,2.5,null
472,Aureli Zheleztsov,aureli@uoi.gr,i81oi65,2021,1,1,2,4,8.5,7.0,null
473,Hoz Lacasa,hoz@uoi.gr,1ekrmQb,2020,2,2,4,4,4.0,4.5,null
474,Khadir Lucey,khadir@uoi.gr,7VhKAld,2019,3,3,6,4,3.5,3.0,null
475,Osagie Horohorkin,osagie@uoi.gr,ktG8uMm,2020,2,2,4,4,3.0,3.0,null
476,Fabio Gaminde,fabio@uoi.gr,wfZfQX3,2019,3,3,6,4,2.5,5.0,null
477,Caixia Roliz,caixia@uoi.gr,mml0Xjj,2019,3,3,6,4,1.0,3.0,null
478,Estephania X,estephania@uoi.gr,mycJxZb,2021,1,1,2,4,1.0,10.0,null
479,Van Branchadell,van@uoi.gr,cxQlMpt,2018,4,4,8,4,5.5,1.0,null
480,Nadja Cimpean,nadja@uoi.gr,GldmFTB,2018,4,4,8,4,6.5,6.0,null
481,Chia Peidro,chia@uoi.gr,AYJ36R0,2021,1,1,2,4,5.5,8.0,null
482,Xeber Arderios,xeber@uoi.gr,ZM9urGM,2017,5,5,10,4,9.5,3.0,null
483,Marjory Tudorica,marjory@uoi.gr,gNfsqXj,2020,2,2,4,4,9.5,7.5,null
484,Harnek Colel,harnek@uoi.gr,X01rS2P,2018,4,4,8,4,1.0,1.5,null
485,Endika Kwak,endika@uoi.gr,h4djMh6,2020,2,2,4,4,2.0,7.5,null
486,Bernhard Wagon,bernhard@uoi.gr,5IrxWT4,2020,2,2,4,4,2.0,1.0,null
487,Doaa De Dompablo,doaa@uoi.gr,ghDtAyj,2021,1,1,2,4,0.0,1.5,null
488,Naomy Kleinerts,naomy@uoi.gr,180krbB,2019,3,3,6,4,1.5,10.0,null
489,Josemaria Granot,josemaria@uoi.gr,LPXu8a2,2018,4,4,8,4,1.0,1.0,null
490,Gedeon Merkh,gedeon@uoi.gr,plKoDZy,2019,3,3,6,4,1.0,3.5,null
491,Yuming Heiligers,yuming@uoi.gr,ZIl78EN,2017,5,5,10,4,2.5,4.5,null
492,Candy Boudin,candy@uoi.gr,aLxeylU,2020,2,2,4,4,7.5,9.0,null
493,Touda Trnkova,touda@uoi.gr,bmDhGmN,2021,1,1,2,4,1.5,1.5,null
494,Jitendra Paunescu,jitendra@uoi.gr,f2WIZqT,2019,3,3,6,4,5.0,8.5,null
495,Jeison Kotschau,jeison@uoi.gr,ki5UHCf,2020,2,2,4,4,9.0,6.0,null
496,Tibisay Reuver,tibisay@uoi.gr,kkKMGDW,2020,2,2,4,4,2.5,5.5,null
497,Sandie Heinzgen,sandie@uoi.gr,TasM8tS,2018,4,4,8,4,3.5,9.0,null
498,Catheryn Rabanos,catheryn@uoi.gr,rNNAX1R,2020,2,2,4,4,7.5,2.0,null
499,Mamadi Baumuller,mamadi@uoi.gr,o7HLuw8,2017,5,5,10,4,0.0,8.5,null
500,Vall Schulzius,vall@uoi.gr,FiS1ofC,2018,4,4,8,4,5.0,3.0,null
501,Hajie Slavov,hajie@uoi.gr,NN6dc2S,2018,4,4,8,5,9.0,10.0,null
502,Keoma Ambroise,keoma@uoi.gr,HKLRG2P,2017,5,5,10,5,9.5,0.0,null
503,Jinyu Jurca,jinyu@uoi.gr,W9v4t67,2018,4,4,8,5,0.5,1.0,null
504,Ciera Papperger,ciera@uoi.gr,YWM9LYm,2021,1,1,2,5,0.0,0.0,null
505,Charleen Neuschulz,charleen@uoi.gr,OnA7LKH,2020,2,2,4,5,5.0,8.5,null
506,Anchidim Benaouda,anchidim@uoi.gr,drf2Cqs,2017,5,5,10,5,4.0,7.0,null
507,Verginica Springer,verginica@uoi.gr,RZ57EV0,2017,5,5,10,5,7.0,1.0,null
508,Laurindo Ebenritter,laurindo@uoi.gr,ROM5WQM,2018,4,4,8,5,1.5,3.0,null
509,Arale Tassioglou,arale@uoi.gr,QSGiAFL,2017,5,5,10,5,3.5,0.0,null
510,Hercilia Hams,hercilia@uoi.gr,WufjCfN,2017,5,5,10,5,6.0,3.5,null
511,Madeline Katzidakis,madeline@uoi.gr,zeRBHcI,2017,5,5,10,5,0.5,1.5,null
512,Cordie Goldkrantz,cordie@uoi.gr,X1Cvz0C,2020,2,2,4,5,0.5,3.5,null
513,Binod Dzi,binod@uoi.gr,fdPkKxO,2019,3,3,6,5,3.5,5.0,null
514,Bette Baraboshkin,bette@uoi.gr,VFZgDAC,2021,1,1,2,5,10.0,6.5,null
515,Vergil Atanasio,vergil@uoi.gr,KeNO01f,2020,2,2,4,5,2.5,5.5,null
516,Lyubomyra Schaeper,lyubomyra@uoi.gr,6fXI3jJ,2018,4,4,8,5,1.0,5.0,null
517,Koji Kastl,koji@uoi.gr,MlLaqjx,2018,4,4,8,5,8.0,5.0,null
518,Librada Malaz Echebarria,librada@uoi.gr,S9qCJ7G,2018,4,4,8,5,6.5,6.5,null
519,Ros Lishtva,ros@uoi.gr,99AIzhf,2021,1,1,2,5,0.5,0.0,null
520,Berengario Arzubiaga,berengario@uoi.gr,8py6H3X,2018,4,4,8,5,8.5,7.0,null
521,Attenya Ageichik,attenya@uoi.gr,ET2wsNb,2017,5,5,10,5,7.5,7.0,null
522,Marni Pochuev,marni@uoi.gr,IEzuxKB,2020,2,2,4,5,1.5,7.0,null
523,Lovie Belmira,lovie@uoi.gr,tFQuCG6,2017,5,5,10,5,0.5,9.5,null
524,Estrellita Jaldin,estrellita@uoi.gr,bqJPm1v,2018,4,4,8,5,1.5,1.0,null
525,Moulay De Piedra,moulay@uoi.gr,I9Ae1Ok,2019,3,3,6,5,0.5,10.0,null
526,Jeffie Schmidmeyer,jeffie@uoi.gr,LBzVG9A,2019,3,3,6,5,1.5,8.5,null
527,Iluminado Thurman,iluminado@uoi.gr,YbpRgPt,2021,1,1,2,5,5.5,5.0,null
528,Dorina Cozzolino,dorina@uoi.gr,tqKwiFR,2019,3,3,6,5,7.0,10.0,null
529,Mhand Dehesa,mhand@uoi.gr,GXtlMSQ,2021,1,1,2,5,1.5,0.5,null
530,Malgorzata Lontro,malgorzata@uoi.gr,PbWo35c,2021,1,1,2,5,2.0,8.5,null
531,Cesarina Dahman,cesarina@uoi.gr,UwDeh9A,2017,5,5,10,5,3.0,1.5,null
532,Gwyn Chmielewski,gwyn@uoi.gr,1HAoXMn,2018,4,4,8,5,6.0,4.0,null
533,Ilse Colon,ilse@uoi.gr,CSXcE85,2018,4,4,8,5,1.5,2.0,null
534,Dimitru Dubowsky,dimitru@uoi.gr,GvdXQ3w,2017,5,5,10,5,2.0,9.5,null
535,Piere Pedrera,piere@uoi.gr,JMW6ggE,2021,1,1,2,5,7.0,0.5,null
536,Azalea Glaziev,azalea@uoi.gr,G9ifqPW,2020,2,2,4,5,10.0,4.0,null
537,Mindy Serge,mindy@uoi.gr,GB3c1Cu,2018,4,4,8,5,9.0,2.0,null
538,Tijana Zuzuarregui,tijana@uoi.gr,x5qshop,2017,5,5,10,5,5.0,0.5,null
539,Fortunato Naharro,fortunato@uoi.gr,m2M2FvV,2021,1,1,2,5,4.0,7.0,null
540,Maurita Beas,maurita@uoi.gr,E0r5HXH,2021,1,1,2,5,1.5,9.5,null
541,Soufia Barthels,soufia@uoi.gr,aqwmihh,2020,2,2,4,5,7.0,9.5,null
542,Isusko Bustorff,isusko@uoi.gr,0g5bFHX,2018,4,4,8,5,6.0,5.0,null
543,Chengjun Blumkin,chengjun@uoi.gr,cs1pTYs,2020,2,2,4,5,3.5,2.0,null
544,Elmira Landais,elmira@uoi.gr,leu7kJw,2020,2,2,4,5,9.5,8.5,null
545,Zoe Bernhardt,zoe@uoi.gr,hjUPdVb,2019,3,3,6,5,7.0,2.5,null
546,Kirk El Baz,kirk@uoi.gr,9RXE7nG,2019,3,3,6,5,10.0,6.0,null
547,Ardis Jahot,ardis@uoi.gr,TNOL5Bu,2019,3,3,6,5,6.0,0.5,null
548,Ileen Uss,ileen@uoi.gr,dyyp3Ny,2017,5,5,10,5,9.5,4.0,null
549,Halil Dubourg,halil@uoi.gr,hbxdVaM,2020,2,2,4,5,6.5,9.0,null
550,Lingwei Olivini,lingwei@uoi.gr,oxCGGxh,2021,1,1,2,5,0.0,7.5,null
551,Besik Schwartzbart,besik@uoi.gr,xzL81lL,2021,1,1,2,5,8.5,1.0,null
552,Isatou Ferrus,isatou@uoi.gr,DiR4ePK,2020,2,2,4,5,7.5,1.0,null
553,Caifeng Marold,caifeng@uoi.gr,nyeqVWP,2020,2,2,4,5,3.5,6.5,null
554,Rolindes Sarafana,rolindes@uoi.gr,CcL58oD,2018,4,4,8,5,0.5,8.0,null
555,Filomeno Maamri,filomeno@uoi.gr,JpwUMin,2020,2,2,4,5,0.5,3.5,null
556,Amapola Niehueser,amapola@uoi.gr,U1PwbWn,2018,4,4,8,5,6.0,0.5,null
557,Hettie Vainberger,hettie@uoi.gr,HxucShV,2021,1,1,2,5,2.5,7.0,null
558,Henny Zhelohovtsev,henny@uoi.gr,62Of2EL,2021,1,1,2,5,7.5,4.0,null
559,Ama Olfa,ama@uoi.gr,mQfC6Lk,2018,4,4,8,5,5.0,7.0,null
560,Sukayna Matado,sukayna@uoi.gr,vKWqS3l,2018,4,4,8,5,0.0,8.0,null
561,Pablina Lukacs,pablina@uoi.gr,YojW7fO,2019,3,3,6,5,9.5,7.5,null
562,Lasse Sanguña,lasse@uoi.gr,HKGxqwU,2021,1,1,2,5,7.5,4.0,null
563,Roxanna Nolasco,roxanna@uoi.gr,uv3ApM6,2021,1,1,2,5,0.0,7.0,null
564,Nohayla Veledo,nohayla@uoi.gr,5vOof0Q,2021,1,1,2,5,0.0,4.0,null
565,Hadia Gebert,hadia@uoi.gr,UCDltxK,2018,4,4,8,5,5.0,5.5,null
566,Nada Manewith,nada@uoi.gr,Wuy0bBC,2017,5,5,10,5,0.0,4.5,null
567,Giorgiana Loredana,giorgiana@uoi.gr,bhgfjcq,2020,2,2,4,5,1.0,8.0,null
568,Donovan Opgenoorth,donovan@uoi.gr,WlQEr4y,2020,2,2,4,5,6.0,3.0,null
569,Wladimir Barazon,wladimir@uoi.gr,p8zI78i,2019,3,3,6,5,0.0,3.0,null
570,Gwen Seraphin,gwen@uoi.gr,6lBpvts,2017,5,5,10,5,2.5,4.0,null
571,Dianelys Feder,dianelys@uoi.gr,I1WU9rU,2020,2,2,4,5,0.0,0.5,null
572,Yaretzi Keal,yaretzi@uoi.gr,L95v91l,2017,5,5,10,5,0.5,9.0,null
573,Nikolina Gual,nikolina@uoi.gr,fXkt8bf,2018,4,4,8,5,5.0,9.0,null
574,Ludibia Pic,ludibia@uoi.gr,GXSzoT8,2021,1,1,2,5,6.0,6.5,null
575,Maazouza Lochstampfer,maazouza@uoi.gr,NnxjfV6,2021,1,1,2,5,2.0,6.0,null
576,Kenza De Julian,kenza@uoi.gr,nNcRItj,2019,3,3,6,5,2.0,9.5,null
577,Johnson Araque,johnson@uoi.gr,ZmonSCS,2018,4,4,8,5,0.0,5.0,null
578,Valeska Perdomo,valeska@uoi.gr,uTtErkn,2019,3,3,6,5,3.0,8.0,null
579,Lijin Lawther,lijin@uoi.gr,Q5WUUoL,2018,4,4,8,5,1.5,8.5,null
580,Donata Navalpotro,donata@uoi.gr,mCeIh2h,2019,3,3,6,5,2.5,5.0,null
581,Barton Eig,barton@uoi.gr,voD9cy6,2018,4,4,8,5,2.5,4.5,null
582,Caroline Levinstein,caroline@uoi.gr,EneC5Y3,2017,5,5,10,5,7.5,10.0,null
583,Tristan Dieling,tristan@uoi.gr,jABMGnr,2017,5,5,10,5,8.5,7.5,null
584,Wendie Zappul,wendie@uoi.gr,L4Eo590,2018,4,4,8,5,4.5,2.5,null
585,Merida Raileanu,merida@uoi.gr,nIuFMkf,2020,2,2,4,5,0.0,7.5,null
586,Tao Nabardun,tao@uoi.gr,FCk6ZHj,2019,3,3,6,5,8.5,3.5,null
587,Otmane Wostheinrich,otmane@uoi.gr,tEcyb6I,2017,5,5,10,5,9.0,0.5,null
588,Jacoba Nurmuhamedov,jacoba@uoi.gr,xCzkyaa,2018,4,4,8,5,1.0,6.0,null
589,Amaral Goldenthal,amaral@uoi.gr,feUlb0f,2019,3,3,6,5,6.5,9.5,null
590,Ken Prisacariu,ken@uoi.gr,f9x23hT,2021,1,1,2,5,7.0,3.5,null
591,Cuiying Jakopp,cuiying@uoi.gr,dgE4awS,2018,4,4,8,5,2.5,7.5,null
592,Faride Baiteryakoff,faride@uoi.gr,dCumxVk,2019,3,3,6,5,2.5,6.0,null
593,Lidan Orioli,lidan@uoi.gr,h6PklqB,2018,4,4,8,5,9.0,4.5,null
594,Amale Buenaga,amale@uoi.gr,4CRQQTC,2019,3,3,6,5,7.0,1.5,null
595,Tsanko Widdows,tsanko@uoi.gr,6oIfGDV,2019,3,3,6,5,0.0,3.5,null
596,Maxym Chanza,maxym@uoi.gr,jJPRbrP,2017,5,5,10,5,2.5,5.5,null
597,Yilian Garrastacho,yilian@uoi.gr,agXTxCA,2020,2,2,4,5,2.5,3.0,null
598,Felisardo Bermell,felisardo@uoi.gr,K9y4dNB,2021,1,1,2,5,1.0,1.5,null
599,Harris Meites,harris@uoi.gr,UOd1BUG,2017,5,5,10,5,3.0,1.5,null
600,Hajie Fjw6@Aol.Com,hajie@uoi.gr,lXb5D5g,2020,2,2,4,5,8.0,6.5,null
601,Adur Zwaag,adur@uoi.gr,RPMXj42,2020,2,2,4,6,1.0,0.0,null
602,Kamrul Pakhtanov,kamrul@uoi.gr,iHYwqvM,2018,4,4,8,6,1.5,2.5,null
603,Jesualda Nuguru,jesualda@uoi.gr,BRzEANP,2017,5,5,10,6,4.5,10.0,null
604,Guofen Braunagel,guofen@uoi.gr,XrKDc0i,2017,5,5,10,6,5.0,9.0,null
605,Nila Zheravin,nila@uoi.gr,M0gS6YI,2021,1,1,2,6,8.0,2.0,null
606,Alirio Climente,alirio@uoi.gr,1Hkn2fB,2020,2,2,4,6,3.5,8.5,null
607,Coromoto Toboso,coromoto@uoi.gr,3cVG2HE,2018,4,4,8,6,0.0,3.5,null
608,Dorota Danks,dorota@uoi.gr,XNSpXzr,2018,4,4,8,6,4.5,3.5,null
609,Kara Drosler,kara@uoi.gr,TxRjJWh,2017,5,5,10,6,6.0,2.5,null
610,Wilburn Ibañez,wilburn@uoi.gr,0Jde8mc,2019,3,3,6,6,3.5,2.5,null
611,Audaz Telhada,audaz@uoi.gr,7PaJ7Y7,2018,4,4,8,6,1.5,3.5,null
612,Ceu Altuzarra,ceu@uoi.gr,7N95MF7,2021,1,1,2,6,5.5,3.0,null
613,Etor Schieferdecker,etor@uoi.gr,ZQZaZRa,2018,4,4,8,6,5.5,5.0,null
614,Ancuta Ruthers,ancuta@uoi.gr,LS94h2V,2019,3,3,6,6,1.5,2.5,null
615,Malika Itzl,malika@uoi.gr,zjVe441,2017,5,5,10,6,9.5,0.0,null
616,Manases Pedrazuela,manases@uoi.gr,pi8AE5J,2021,1,1,2,6,6.5,6.0,null
617,Martin Leitl,martin@uoi.gr,v0h3BFQ,2017,5,5,10,6,4.5,10.0,null
618,Weiyan Sharples,weiyan@uoi.gr,P5Bhi5M,2019,3,3,6,6,3.0,3.0,null
619,Hanane Bucheli,hanane@uoi.gr,veVZKav,2021,1,1,2,6,7.0,0.0,null
620,Jenaro Wesenbeck,jenaro@uoi.gr,weCqNnZ,2020,2,2,4,6,2.0,8.5,null
621,Tonja Picola,tonja@uoi.gr,Zxr30nt,2020,2,2,4,6,4.5,8.5,null
622,Khamssa Ripalda,khamssa@uoi.gr,EIwzVCn,2021,1,1,2,6,1.5,2.5,null
623,Carma Rubial,carma@uoi.gr,BcofXc1,2018,4,4,8,6,0.5,5.5,null
624,Nassir Rothkopf,nassir@uoi.gr,efVeGXX,2019,3,3,6,6,8.5,7.5,null
625,Melanie Shelomo (Solomon),melanie@uoi.gr,5AJJeGY,2020,2,2,4,6,1.5,3.0,null
626,Ayaz Grundtner,ayaz@uoi.gr,N9NMXbO,2020,2,2,4,6,8.0,1.5,null
627,Georgina Errard,georgina@uoi.gr,o4UBpWb,2021,1,1,2,6,4.5,10.0,null
628,My Rujnikov,my@uoi.gr,OPuRcRr,2018,4,4,8,6,1.0,0.0,null
629,Britany Turusin,britany@uoi.gr,59MULGM,2019,3,3,6,6,3.5,4.0,null
630,Zeneb Vinck,zeneb@uoi.gr,IxQp6fQ,2018,4,4,8,6,4.0,5.5,null
631,Hossnia Lucidi,hossnia@uoi.gr,fyoDtUT,2017,5,5,10,6,4.5,2.5,null
632,Jesusita Gericke,jesusita@uoi.gr,bHMvxq5,2018,4,4,8,6,6.0,6.5,null
633,Vitaliano Castelli,vitaliano@uoi.gr,d63GHrl,2018,4,4,8,6,1.0,6.5,null
634,Yauci Raimondo,yauci@uoi.gr,OZe3Q5B,2020,2,2,4,6,0.5,1.0,null
